label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Q11699464,http://www.wikidata.org/entity/Q11699464,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Q41703834,http://www.wikidata.org/entity/Q41703834,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Q41703834,http://www.wikidata.org/entity/Q41703834,Uchinoura Space Center,Japan,National Aeronautics and Space Administration,,,"31.251944444,131.081944444"
Q686920,http://www.wikidata.org/entity/Q686920,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
2001 Mars Odyssey,http://www.wikidata.org/entity/Q207164,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
2001 Mars Odyssey,http://www.wikidata.org/entity/Q207164,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
A Broadband Imaging X-ray All-sky Survey,http://www.wikidata.org/entity/Q14918,Kapustin Yar,Russia,German Aerospace Center,,,"48.5655,46.2952"
A-101,http://www.wikidata.org/entity/Q277719,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-102 (spacecraft),http://www.wikidata.org/entity/Q277726,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-103 (spacecraft),http://www.wikidata.org/entity/Q277734,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-104 (spacecraft),http://www.wikidata.org/entity/Q277739,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-105,http://www.wikidata.org/entity/Q277747,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
AAUSAT3,http://www.wikidata.org/entity/Q4649953,Satish Dhawan Space Centre First Launch Pad,India,Aalborg University,,,"13.733,80.235"
ABS-3,http://www.wikidata.org/entity/Q4692529,Xichang Satellite Launch Center,People's Republic of China,Mabuhay Satellite Corporation,,,"28.246016666,102.026555555"
ABS-3A,http://www.wikidata.org/entity/Q19467797,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Asia Broadcast Satellite,,,"28.5621,-80.5772"
ADEOS I,http://www.wikidata.org/entity/Q14927,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADEOS II,http://www.wikidata.org/entity/Q14933,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADM-Aeolus,http://www.wikidata.org/entity/Q290390,Guiana Space Centre,France,European Space Agency,,,"5.237222222,-52.760555555"
AGILE,http://www.wikidata.org/entity/Q14951,Satish Dhawan Space Centre Second Launch Pad,India,Italian Space Agency,,,"13.7199,80.2304"
ALOS-2,http://www.wikidata.org/entity/Q16937207,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
AMC 1,http://www.wikidata.org/entity/Q4652562,Spaceport Florida Launch Complex 36,United States of America,SES Americom,,,"28.470555555,-80.54"
AMC-18,http://www.wikidata.org/entity/Q294633,ELA-3,France,SES Americom,,,"5.2406,-52.7708"
AMC-3,http://www.wikidata.org/entity/Q4652553,Spaceport Florida Launch Complex 36,United States of America,SES Americom,,,"28.470555555,-80.54"
AMC-7,http://www.wikidata.org/entity/Q4652550,ELA-3,France,SES S.A.,,,"5.2406,-52.7708"
AMC-8,http://www.wikidata.org/entity/Q4652551,ELA-3,France,SES Americom,,,"5.2406,-52.7708"
AMSAT-OSCAR 7,http://www.wikidata.org/entity/Q2278545,Vandenberg AFB Space Launch Complex 2,United States of America,AMSAT,,,"34.7545,-120.62"
ANUSAT,http://www.wikidata.org/entity/Q14984,Satish Dhawan Space Centre Second Launch Pad,India,Anna University,,,"13.7199,80.2304"
ARSAT-1,http://www.wikidata.org/entity/Q4653923,ELA-3,France,ARSAT,,,"5.2406,-52.7708"
ARSAT-2,http://www.wikidata.org/entity/Q17709488,ELA-3,France,ARSAT,,,"5.2406,-52.7708"
AS-202,http://www.wikidata.org/entity/Q297077,Cape Canaveral Air Force Station Launch Complex 34,United States of America,National Aeronautics and Space Administration,,,"28.5219,-80.5614"
ATS-1,http://www.wikidata.org/entity/Q4654903,Cape Canaveral Air Force Station Launch Complex 12,United States of America,National Aeronautics and Space Administration,,,"28.4803,-80.5419"
ATS-3,http://www.wikidata.org/entity/Q3390184,Cape Canaveral Air Force Station Launch Complex 12,United States of America,National Aeronautics and Space Administration,,,"28.4803,-80.5419"
ATS-6,http://www.wikidata.org/entity/Q2819560,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,National Aeronautics and Space Administration,,,"28.5621,-80.5772"
Active Cavity Radiometer Irradiance Monitor Satellite,http://www.wikidata.org/entity/Q15010,Vandenberg AFB Launch Complex 576,United States of America,Jet Propulsion Laboratory,,,"34.7394,-120.619"
Active Cavity Radiometer Irradiance Monitor Satellite,http://www.wikidata.org/entity/Q15010,Vandenberg AFB Launch Complex 576,United States of America,National Aeronautics and Space Administration,,,"34.7394,-120.619"
Advanced Land Observation Satellite,http://www.wikidata.org/entity/Q49480,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
AeroCube 3,http://www.wikidata.org/entity/Q2825584,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,The Aerospace Corporation,,,"37.85,-75.466666666"
Akari (satellite),http://www.wikidata.org/entity/Q298047,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Akebono,http://www.wikidata.org/entity/Q2828969,Uchinoura Space Center,Japan,Institute of Space and Astronautical Science,,,"31.251944444,131.081944444"
Alexander (satellite),http://www.wikidata.org/entity/Q14174564,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
Alouette 1,http://www.wikidata.org/entity/Q1422160,Vandenberg AFB Space Launch Complex 2,United States of America,Defence Research and Development Canada,,,"34.7545,-120.62"
Alouette 2,http://www.wikidata.org/entity/Q2650602,Vandenberg AFB Space Launch Complex 2,United States of America,Defence Research and Development Canada,,,"34.7545,-120.62"
Amazonas 3,http://www.wikidata.org/entity/Q4740877,ELA-3,France,Hispasat,,,"5.2406,-52.7708"
Apolla 6,http://www.wikidata.org/entity/Q222871,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,,,"28.6084,-80.6043"
Apollo 10,http://www.wikidata.org/entity/Q191746,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Eugene Cernan,Bellwood,"28.6084,-80.6043"
Apollo 10,http://www.wikidata.org/entity/Q191746,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,John Young,San Francisco,"28.6084,-80.6043"
Apollo 10,http://www.wikidata.org/entity/Q191746,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Thomas P. Stafford,Oklahoma,"28.6084,-80.6043"
Apollo 11,http://www.wikidata.org/entity/Q43653,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Buzz Aldrin,Glen Ridge,"28.6084,-80.6043"
Apollo 11,http://www.wikidata.org/entity/Q43653,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Michael Collins,Rome,"28.6084,-80.6043"
Apollo 11,http://www.wikidata.org/entity/Q43653,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Neil Armstrong,Wapakoneta,"28.6084,-80.6043"
Apollo 12,http://www.wikidata.org/entity/Q188433,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Alan Bean,Wheeler,"28.6084,-80.6043"
Apollo 12,http://www.wikidata.org/entity/Q188433,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Pete Conrad,Philadelphia,"28.6084,-80.6043"
Apollo 12,http://www.wikidata.org/entity/Q188433,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Richard F. Gordon,Seattle,"28.6084,-80.6043"
Apollo 13,http://www.wikidata.org/entity/Q182252,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Fred Haise,Biloxi,"28.6084,-80.6043"
Apollo 13,http://www.wikidata.org/entity/Q182252,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Jack Swigert,Denver,"28.6084,-80.6043"
Apollo 13,http://www.wikidata.org/entity/Q182252,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Jim Lovell,Cleveland,"28.6084,-80.6043"
Apollo 14,http://www.wikidata.org/entity/Q178871,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Alan Shepard,Derry,"28.6084,-80.6043"
Apollo 14,http://www.wikidata.org/entity/Q178871,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Edgar Mitchell,Pula,"28.6084,-80.6043"
Apollo 14,http://www.wikidata.org/entity/Q178871,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Stuart Roosa,Durango,"28.6084,-80.6043"
Apollo 15,http://www.wikidata.org/entity/Q194068,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Alfred Worden,Jackson,"28.6084,-80.6043"
Apollo 15,http://www.wikidata.org/entity/Q194068,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,David Scott,San Antonio,"28.6084,-80.6043"
Apollo 15,http://www.wikidata.org/entity/Q194068,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,James Irwin,Pittsburgh,"28.6084,-80.6043"
Apollo 16,http://www.wikidata.org/entity/Q188168,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Charles Duke,Charlotte,"28.6084,-80.6043"
Apollo 16,http://www.wikidata.org/entity/Q188168,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,John Young,San Francisco,"28.6084,-80.6043"
Apollo 16,http://www.wikidata.org/entity/Q188168,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Ken Mattingly,Chicago,"28.6084,-80.6043"
Apollo 17,http://www.wikidata.org/entity/Q180971,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Eugene Cernan,Bellwood,"28.6084,-80.6043"
Apollo 17,http://www.wikidata.org/entity/Q180971,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Harrison Schmitt,Santa Rita,"28.6084,-80.6043"
Apollo 17,http://www.wikidata.org/entity/Q180971,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Ronald Evans,St. Francis,"28.6084,-80.6043"
Apollo 4,http://www.wikidata.org/entity/Q236071,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,,,"28.6084,-80.6043"
Apollo 5,http://www.wikidata.org/entity/Q242528,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
Apollo 7,http://www.wikidata.org/entity/Q188486,Cape Canaveral Air Force Station Launch Complex 34,United States of America,National Aeronautics and Space Administration,Donn F. Eisele,Columbus,"28.5219,-80.5614"
Apollo 7,http://www.wikidata.org/entity/Q188486,Cape Canaveral Air Force Station Launch Complex 34,United States of America,National Aeronautics and Space Administration,Wally Schirra,Hackensack,"28.5219,-80.5614"
Apollo 7,http://www.wikidata.org/entity/Q188486,Cape Canaveral Air Force Station Launch Complex 34,United States of America,National Aeronautics and Space Administration,Walter Cunningham,Creston,"28.5219,-80.5614"
Apollo 8,http://www.wikidata.org/entity/Q184201,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Bill Anders,British Hong Kong,"28.6084,-80.6043"
Apollo 8,http://www.wikidata.org/entity/Q184201,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Frank Borman,Gary,"28.6084,-80.6043"
Apollo 8,http://www.wikidata.org/entity/Q184201,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,Jim Lovell,Cleveland,"28.6084,-80.6043"
Apollo 9,http://www.wikidata.org/entity/Q203651,Kennedy Space Center,United States of America,National Aeronautics and Space Administration,David Scott,San Antonio,"28.585278,-80.650833"
Apollo 9,http://www.wikidata.org/entity/Q203651,Kennedy Space Center,United States of America,National Aeronautics and Space Administration,James McDivitt,Chicago,"28.585278,-80.650833"
Apollo 9,http://www.wikidata.org/entity/Q203651,Kennedy Space Center,United States of America,National Aeronautics and Space Administration,Rusty Schweickart,Neptune Township,"28.585278,-80.650833"
Aqua,http://www.wikidata.org/entity/Q17397,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Arabsat-1B,http://www.wikidata.org/entity/Q4783491,Kennedy Space Center Launch Complex 39,United States of America,Arab Satellite Communications Organization,,,"28.6084,-80.6043"
Arabsat-5A,http://www.wikidata.org/entity/Q582440,ELA-3,France,Arab Satellite Communications Organization,,,"5.2406,-52.7708"
Ariane flight VA240,http://www.wikidata.org/entity/Q55393502,ELA-3,France,Arianespace,,,"5.2406,-52.7708"
Ariane flight VA241,http://www.wikidata.org/entity/Q47540245,ELA-3,France,Arianespace,,,"5.2406,-52.7708"
Ariane flight VA242,http://www.wikidata.org/entity/Q54621798,ELA-3,France,Arianespace,,,"5.2406,-52.7708"
Ariane flight VA244,http://www.wikidata.org/entity/Q56290062,ELA-3,France,Arianespace,,,"5.2406,-52.7708"
Ariane flight VA245,http://www.wikidata.org/entity/Q57977703,ELA-3,France,Arianespace,,,"5.2406,-52.7708"
Artemis,http://www.wikidata.org/entity/Q18540,ELA-3,France,European Space Agency,,,"5.2406,-52.7708"
Aryabhata,http://www.wikidata.org/entity/Q19706,Kapustin Yar,Russia,Indian Space Research Organization,,,"48.5655,46.2952"
AsiaSat 2,http://www.wikidata.org/entity/Q726818,Xichang Satellite Launch Center,People's Republic of China,AsiaSat,,,"28.246016666,102.026555555"
AsiaSat 6,http://www.wikidata.org/entity/Q16206759,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,AsiaSat,,,"28.5621,-80.5772"
AsiaSat 8,http://www.wikidata.org/entity/Q17486654,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,AsiaSat,,,"28.5621,-80.5772"
AsiaStar,http://www.wikidata.org/entity/Q4806326,ELA-3,France,1worldspace,,,"5.2406,-52.7708"
Astra 1L,http://www.wikidata.org/entity/Q750264,ELA-3,France,SES S.A.,,,"5.2406,-52.7708"
Astra 2D,http://www.wikidata.org/entity/Q446727,ELA-3,France,SES Astra,,,"5.2406,-52.7708"
Astra 2F,http://www.wikidata.org/entity/Q211202,ELA-3,France,SES S.A.,,,"5.2406,-52.7708"
Astra 5B,http://www.wikidata.org/entity/Q15976086,ELA-3,France,SES S.A.,,,"5.2406,-52.7708"
Astronomische Nederlandse Satelliet,http://www.wikidata.org/entity/Q22674,Vandenberg AFB Space Launch Complex 5,United States of America,Netherlands Institute for Space Research,,,"34.608,-120.625"
Astrosat,http://www.wikidata.org/entity/Q298058,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Astérix,http://www.wikidata.org/entity/Q22744,Hammaguir,Algeria,CNES,,,"30.9,-3.033333333"
AubieSat-1,http://www.wikidata.org/entity/Q4819050,Vandenberg AFB Space Launch Complex 2,United States of America,Auburn University,,,"34.7545,-120.62"
Aura,http://www.wikidata.org/entity/Q23649,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Azerspace,http://www.wikidata.org/entity/Q2564451,ELA-3,France,Azerbaijan National Aerospace Agency,,,"5.2406,-52.7708"
Azerspace,http://www.wikidata.org/entity/Q2564451,ELA-3,France,MEASAT Satellite Systems,,,"5.2406,-52.7708"
BLITS,http://www.wikidata.org/entity/Q8876084,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,,,"45.9648,63.3051"
Badr-1,http://www.wikidata.org/entity/Q23687,Xichang Satellite Launch Center,People's Republic of China,Space and Upper Atmosphere Research Commission,,,"28.246016666,102.026555555"
Bangabandhu-1,http://www.wikidata.org/entity/Q4855000,Kennedy Space Center Launch Complex 39,United States of America,Bangladesh Telecommunication Regulatory Commission,,,"28.6084,-80.6043"
BeeSat-1,http://www.wikidata.org/entity/Q813973,Satish Dhawan Space Centre First Launch Pad,India,Technical University of Berlin,,,"13.733,80.235"
Bell,http://www.wikidata.org/entity/Q14174567,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
BepiColombo,http://www.wikidata.org/entity/Q113169,ELA-3,France,European Space Agency,,,"5.2406,-52.7708"
BepiColombo,http://www.wikidata.org/entity/Q113169,ELA-3,France,Japan Aerospace Exploration Agency,,,"5.2406,-52.7708"
BeppoSAX,http://www.wikidata.org/entity/Q23770,Spaceport Florida Launch Complex 36,United States of America,Italian Space Agency,,,"28.470555555,-80.54"
Big Joe 1,http://www.wikidata.org/entity/Q762523,Cape Canaveral Air Force Station Launch Complex 14,United States of America,National Aeronautics and Space Administration,,,"28.4911,-80.5469"
Bion 1,http://www.wikidata.org/entity/Q25323,Plesetsk Cosmodrome Site 43,Russia,Russian Academy of Sciences,,,"62.92,40.46694444"
Bion 10,http://www.wikidata.org/entity/Q26042,Plesetsk Cosmodrome Site 43,Russia,Russian Academy of Sciences,,,"62.92,40.46694444"
Bion 3,http://www.wikidata.org/entity/Q25886,Plesetsk Cosmodrome Site 43,Russia,Russian Academy of Sciences,,,"62.92,40.46694444"
Bion 4,http://www.wikidata.org/entity/Q25919,Plesetsk Cosmodrome Site 43,Russia,Russian Academy of Sciences,,,"62.92,40.46694444"
Bispectral InfraRed Detector,http://www.wikidata.org/entity/Q26120,Satish Dhawan Space Centre First Launch Pad,India,German Aerospace Center,,,"13.733,80.235"
BugSat 1,http://www.wikidata.org/entity/Q17512643,Dombarovsky,Russia,Satellogic,,,"50.8,59.51666667"
Bulgaria 1300,http://www.wikidata.org/entity/Q1275965,Plesetsk Cosmodrome Site 43,Russia,Space Research and Technology Institute,,,"62.92,40.46694444"
CALIPSO,http://www.wikidata.org/entity/Q35494,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
CASSIOPE,http://www.wikidata.org/entity/Q1022873,Vandenberg AFB Space Launch Complex 4,United States of America,"MacDonald, Dettwiler and Associates",,,"-120.613,34.6327"
CBERS-1,http://www.wikidata.org/entity/Q15292930,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8491,111.608"
CBERS-1,http://www.wikidata.org/entity/Q15292930,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8489,111.608"
CBERS-2,http://www.wikidata.org/entity/Q15292934,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8491,111.608"
CBERS-2,http://www.wikidata.org/entity/Q15292934,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8489,111.608"
CBERS-2B,http://www.wikidata.org/entity/Q15292918,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8491,111.608"
CBERS-2B,http://www.wikidata.org/entity/Q15292918,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8489,111.608"
CBERS-3,http://www.wikidata.org/entity/Q15292905,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8491,111.608"
CBERS-3,http://www.wikidata.org/entity/Q15292905,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8489,111.608"
CBERS-4,http://www.wikidata.org/entity/Q15300663,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8491,111.608"
CBERS-4,http://www.wikidata.org/entity/Q15300663,Taiyuan Satellite Launch Center,People's Republic of China,China National Space Administration,,,"38.8489,111.608"
COSMO-1,http://www.wikidata.org/entity/Q3648861,Vandenberg AFB Space Launch Complex 2,United States of America,Italian Space Agency,,,"34.7545,-120.62"
CP-6,http://www.wikidata.org/entity/Q5013578,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,California Polytechnic State University,,,"37.85,-75.466666666"
CUTE-1.7 + APD,http://www.wikidata.org/entity/Q14152752,Uchinoura Space Center,Japan,Tokyo Institute of Technology,,,"31.251944444,131.081944444"
CUTE-1.7 + APD II,http://www.wikidata.org/entity/Q14152747,Satish Dhawan Space Centre Second Launch Pad,India,Tokyo Institute of Technology,,,"13.7199,80.2304"
Cartosat-1,http://www.wikidata.org/entity/Q2940667,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
Cartosat-2,http://www.wikidata.org/entity/Q1046007,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Cartosat-2A,http://www.wikidata.org/entity/Q844892,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
Cartosat-2B,http://www.wikidata.org/entity/Q1148147,Satish Dhawan Space Centre First Launch Pad,India,Indian Space Research Organization,,,"13.733,80.235"
Cartosat-2C,http://www.wikidata.org/entity/Q24820155,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,European Space Agency,,,"28.5621,-80.5772"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station,United States of America,European Space Agency,,,"28.488888888,-80.577777777"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Italian Space Agency,,,"28.5621,-80.5772"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station,United States of America,Italian Space Agency,,,"28.488888888,-80.577777777"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,National Aeronautics and Space Administration,,,"28.5621,-80.5772"
Cassini−Huygens,http://www.wikidata.org/entity/Q165585,Cape Canaveral Air Force Station,United States of America,National Aeronautics and Space Administration,,,"28.488888888,-80.577777777"
Chandrayaan-1,http://www.wikidata.org/entity/Q49011,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
Chang'e 3,http://www.wikidata.org/entity/Q1061879,Xichang Satellite Launch Center,People's Republic of China,China National Space Administration,,,"28.246016666,102.026555555"
Chang'e 5,http://www.wikidata.org/entity/Q10944018,Wenchang Satellite Launch Center,People's Republic of China,China National Space Administration,,,"19.614491666,110.951133333"
Chinasat-9A,http://www.wikidata.org/entity/Q30345520,Xichang Satellite Launch Center,People's Republic of China,"China Satellite Communications Co., Ltd.",,,"102.026555555,28.246016666"
Chollian,http://www.wikidata.org/entity/Q487256,ELA-3,France,Korea Aerospace Research Institute,,,"5.2406,-52.7708"
CloudSat,http://www.wikidata.org/entity/Q49397,Vandenberg AFB Space Launch Complex 2,United States of America,National Aeronautics and Space Administration,,,"34.7545,-120.62"
Colorado Student Space Weather Experiment,http://www.wikidata.org/entity/Q14273817,Vandenberg AFB Space Launch Complex 3,United States of America,University of Colorado Boulder,,,"34.643,-120.589"
Compass-1,http://www.wikidata.org/entity/Q167316,Satish Dhawan Space Centre Second Launch Pad,India,FH Aachen,,,"13.7199,80.2304"
Coriolis,http://www.wikidata.org/entity/Q172421,Vandenberg AFB Space Launch Complex 4,United States of America,United States Naval Research Laboratory,,,"34.6327,-120.613"
Cornell University Satellite,http://www.wikidata.org/entity/Q5171569,Vandenberg AFB Space Launch Complex 4,United States of America,Cornell University,,,"34.6327,-120.613"
Courier 1B,http://www.wikidata.org/entity/Q63716,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,United States Air Force,,,"28.4467,-80.5661"
Crew Module Atmospheric Re-entry Experiment,http://www.wikidata.org/entity/Q18645641,Satish Dhawan Space Centre Second Launch Pad,India,Indian Space Research Organization,,,"13.7199,80.2304"
CubeBug-1,http://www.wikidata.org/entity/Q14228001,Jiuquan Satellite Launch Center,People's Republic of China,Satellogic,,,"40.9675,100.278611111"
CubeBug-2,http://www.wikidata.org/entity/Q17049981,Dombarovsky,Russia,Satellogic,,,"50.8,59.51666667"
Cygnus CRS OA-6,http://www.wikidata.org/entity/Q20647111,Cape Canaveral Air Force Station Space Launch Complex 41,United States of America,National Aeronautics and Space Administration,,,"28.5833,-80.5831"
Cygnus CRS Orb-5,http://www.wikidata.org/entity/Q16820629,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
Cygnus CRS Orb-8E,http://www.wikidata.org/entity/Q20857895,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,Orbital ATK,,,"37.85,-75.466666666"
Cygnus CRS Orb-9E,http://www.wikidata.org/entity/Q20857896,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,Orbital ATK,,,"37.85,-75.466666666"
DLR-Tubsat,http://www.wikidata.org/entity/Q1154497,Satish Dhawan Space Centre First Launch Pad,India,Technical University of Berlin,,,"13.733,80.235"
Dawn,http://www.wikidata.org/entity/Q48558,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
Dawn,http://www.wikidata.org/entity/Q48558,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Deep Space Climate Observatory,http://www.wikidata.org/entity/Q1182418,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,National Oceanic and Atmospheric Administration,,,"28.5621,-80.5772"
Deimos-2,http://www.wikidata.org/entity/Q17285847,Dombarovsky,Russia,Deimos Imaging,,,"50.8,59.51666667"
Delfi-C3,http://www.wikidata.org/entity/Q49504,Satish Dhawan Space Centre Second Launch Pad,India,Delft University of Technology,,,"13.7199,80.2304"
Delfi-n3Xt,http://www.wikidata.org/entity/Q5253664,Dombarovsky,Russia,Delft University of Technology,,,"50.8,59.51666667"
DirecTV-14,http://www.wikidata.org/entity/Q18467520,ELA-3,France,DirecTV,,,"5.2406,-52.7708"
Diwata-1,http://www.wikidata.org/entity/Q20022790,Cape Canaveral Air Force Station Space Launch Complex 41,United States of America,Department of Science and Technology of the Philippines,,,"28.5833,-80.5831"
Dong Fang Hong I,http://www.wikidata.org/entity/Q49678,Jiuquan Satellite Launch Center,People's Republic of China,China Academy of Space Technology,,,"40.9675,100.278611111"
Drag and Atmospheric Neutral Density Explorer,http://www.wikidata.org/entity/Q5304815,Vandenberg AFB Space Launch Complex 4,United States of America,University of Colorado Boulder,,,"34.6327,-120.613"
Dragon C2+,http://www.wikidata.org/entity/Q2931862,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,National Aeronautics and Space Administration,,,"28.5621,-80.5772"
DubaiSat-2,http://www.wikidata.org/entity/Q5310494,Dombarovsky,Russia,Emirates Institution for Advanced Science and Technology,,,"50.8,59.51666667"
ESRO 2B,http://www.wikidata.org/entity/Q2944742,Vandenberg AFB Space Launch Complex 5,United States of America,European Space Research Organisation,,,"34.608,-120.625"
ETS-VIII,http://www.wikidata.org/entity/Q4220447,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
