label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Soyuz TM-6,http://www.wikidata.org/entity/Q238773,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Jean-Loup Chrétien,La Rochelle,"45.9648,63.3051"
Soyuz TM-6,http://www.wikidata.org/entity/Q238773,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Musa Manarov,Baku,"45.9648,63.3051"
Soyuz TM-6,http://www.wikidata.org/entity/Q238773,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Valeri Polyakov,Tula,"45.9648,63.3051"
Soyuz TM-6,http://www.wikidata.org/entity/Q238773,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Vladimir Lyakhov,Antratsyt,"45.9648,63.3051"
Soyuz TM-6,http://www.wikidata.org/entity/Q238773,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Vladimir Titov,Sretensk,"45.9648,63.3051"
Soyuz TM-7,http://www.wikidata.org/entity/Q767583,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Aleksandr Aleksandrovich Volkov,Horlivka,"45.9648,63.3051"
Soyuz TM-7,http://www.wikidata.org/entity/Q767583,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Jean-Loup Chrétien,La Rochelle,"45.9648,63.3051"
Soyuz TM-7,http://www.wikidata.org/entity/Q767583,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Sergei Krikalev,Saint Petersburg,"45.9648,63.3051"
Soyuz TM-7,http://www.wikidata.org/entity/Q767583,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Valeri Polyakov,Tula,"45.9648,63.3051"
Soyuz TM-8,http://www.wikidata.org/entity/Q1424265,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Aleksandr Serebrov,Moscow,"45.9648,63.3051"
Soyuz TM-8,http://www.wikidata.org/entity/Q1424265,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Aleksandr Viktorenko,Olginka,"45.9648,63.3051"
Soyuz TM-9,http://www.wikidata.org/entity/Q1475435,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Aleksandr Nikolayevich Balandin,Fryazino,"45.9648,63.3051"
Soyuz TM-9,http://www.wikidata.org/entity/Q1475435,Baikonur Cosmodrome,Kazakhstan,Soviet space program,Anatoly Solovyev,Riga,"45.9648,63.3051"
Soyuz TMA-01M,http://www.wikidata.org/entity/Q518760,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Aleksandr Kaleri,Jūrmala,"45.9648,63.3051"
Soyuz TMA-01M,http://www.wikidata.org/entity/Q518760,Baikonur Cosmodrome,Kazakhstan,Roscosmos State Corporation,Oleg Skripochka,Nevinnomyssk,"45.9648,63.3051"
